"","NonCrop","GM","Tolerant","Unclassified"
"NonCrop",0,0,4,70
"GM",2,601,123,1221
"Tolerant",0,391,6,647
"Vulnerable",1,49,20,7697
"Unclassified",20,548,425,58616
